Doctor_ID,Doctor_Name,Specialty,Department,Experience_Years
110001,Dr_0,Neurology,Diagnostics,31
110002,Dr_1,Oncology,Outpatient,20
110003,Dr_2,Neurology,Surgery,28
110004,Dr_3,Oncology,Diagnostics,14
110005,Dr_4,Dermatology,Diagnostics,25
110006,Dr_5,Neurology,Emergency,28
110007,Dr_6,Neurology,Outpatient,35
110008,Dr_7,General Medicine,Outpatient,25
110009,Dr_8,General Medicine,Emergency,32
110010,Dr_9,Neurology,Outpatient,7
110011,Dr_10,ENT,Diagnostics,33
110012,Dr_11,Dermatology,Emergency,21
110013,Dr_12,General Medicine,Outpatient,1
110014,Dr_13,Dermatology,Medicine,13
110015,Dr_14,Cardiology,Emergency,4
110016,Dr_15,General Medicine,Medicine,9
110017,Dr_16,ENT,Emergency,19
110018,Dr_17,Orthopedics,Diagnostics,29
110019,Dr_18,Neurology,Outpatient,2
110020,Dr_19,Neurology,Diagnostics,34
110021,Dr_20,ENT,Surgery,15
110022,Dr_21,Neurology,Outpatient,14
110023,Dr_22,ENT,Emergency,35
110024,Dr_23,General Medicine,Outpatient,19
110025,Dr_24,Pediatrics,Outpatient,2
110026,Dr_25,Cardiology,Emergency,3
110027,Dr_26,ENT,Medicine,21
110028,Dr_27,Neurology,Outpatient,4
110029,Dr_28,ENT,Surgery,5
110030,Dr_29,General Medicine,Outpatient,19
110031,Dr_30,Cardiology,Diagnostics,21
110032,Dr_31,Oncology,Medicine,3
110033,Dr_32,Orthopedics,Outpatient,16
110034,Dr_33,General Medicine,Outpatient,11
110035,Dr_34,Pediatrics,Emergency,15
110036,Dr_35,General Medicine,Diagnostics,7
110037,Dr_36,Neurology,Emergency,11
110038,Dr_37,Pediatrics,Emergency,35
110039,Dr_38,ENT,Diagnostics,26
110040,Dr_39,Neurology,Diagnostics,16
110041,Dr_40,Dermatology,Diagnostics,7
110042,Dr_41,Oncology,Medicine,33
110043,Dr_42,Dermatology,Surgery,35
110044,Dr_43,ENT,Medicine,33
110045,Dr_44,Oncology,Diagnostics,33
110046,Dr_45,Orthopedics,Emergency,7
110047,Dr_46,Orthopedics,Emergency,35
110048,Dr_47,Cardiology,Medicine,25
110049,Dr_48,Oncology,Diagnostics,31
110050,Dr_49,General Medicine,Medicine,13
110051,Dr_50,ENT,Diagnostics,28
110052,Dr_51,Neurology,Diagnostics,5
110053,Dr_52,General Medicine,Surgery,35
110054,Dr_53,Neurology,Outpatient,13
110055,Dr_54,General Medicine,Surgery,12
110056,Dr_55,Pediatrics,Emergency,22
110057,Dr_56,Cardiology,Outpatient,13
110058,Dr_57,ENT,Outpatient,27
