Staff_ID,Department,Role,Shift,Experience_Years,Monthly_Salary
600001,Administration,Manager,Morning,26,148843.9
600002,Emergency,Coordinator,Morning,14,150643.98
600003,Nursing,Assistant,Morning,28,76488.82
600004,Pharmacy,Nurse,Morning,14,63558.54
600005,Surgery,Nurse,Evening,15,40714.49
600006,Emergency,Manager,Morning,16,127843.83
600007,Pharmacy,Assistant,Evening,15,100010.4
600008,Pharmacy,Assistant,Morning,30,83199.51
600009,Emergency,Coordinator,Morning,26,90092.65
600010,Pharmacy,Manager,Morning,7,34447.75
600011,Surgery,Assistant,Evening,11,105832.93
600012,Diagnostics,Technician,Morning,21,64848.59
600013,Surgery,Coordinator,Night,19,81803.42
600014,Emergency,Manager,Morning,17,159512.17
600015,Emergency,Nurse,Evening,20,57260.05
600016,Diagnostics,Manager,Morning,17,55250.93
600017,Pharmacy,Technician,Morning,4,168807.47
600018,Administration,Assistant,Morning,9,76221.62
600019,Administration,Coordinator,Morning,10,68767.89
600020,Diagnostics,Pharmacist,Evening,27,45877.85
600021,Nursing,Coordinator,Night,17,53409.44
600022,Nursing,Nurse,Evening,22,28097.07
600023,Pharmacy,Coordinator,Morning,11,151334.08
600024,Emergency,Coordinator,Evening,8,144049.45
600025,Emergency,Manager,Morning,30,75849.15
600026,Surgery,Assistant,Morning,10,160992.06
600027,Emergency,Pharmacist,Morning,16,113193.72
600028,Emergency,Coordinator,Evening,3,39825.34
600029,Nursing,Assistant,Evening,27,97953.33
600030,Emergency,Technician,Night,11,87733.76
600031,Emergency,Nurse,Morning,26,135066.37
600032,Pharmacy,Manager,Evening,27,132626.26
600033,Emergency,Coordinator,Evening,19,160919.2
600034,Pharmacy,Pharmacist,Night,18,96476.29
600035,Surgery,Assistant,Morning,26,177283.53
600036,Administration,Technician,Night,7,30304.76
600037,Diagnostics,Technician,Morning,12,179783.93
600038,Surgery,Pharmacist,Night,9,120736.48
600039,Pharmacy,Technician,Evening,7,58261.48
600040,Nursing,Pharmacist,Morning,26,150867.69
600041,Administration,Technician,Morning,6,136520.04
600042,Administration,Nurse,Night,20,57291.37
600043,Nursing,Assistant,Morning,3,100713.51
600044,Diagnostics,Technician,Night,0,112054.37
600045,Emergency,Manager,Morning,15,50074.55
600046,Emergency,Assistant,Morning,7,82947.97
600047,Administration,Nurse,Night,18,117208.12
600048,Pharmacy,Pharmacist,Night,12,51795.3
600049,Surgery,Assistant,Morning,6,118788.81
600050,Emergency,Coordinator,Night,10,152409.83
600051,Emergency,Assistant,Night,7,30094.35
600052,Nursing,Pharmacist,Night,26,70708.12
600053,Nursing,Nurse,Morning,28,98375.5
600054,Nursing,Assistant,Evening,27,136836.75
600055,Pharmacy,Pharmacist,Night,28,67970.6
600056,Emergency,Nurse,Morning,3,30691.75
600057,Surgery,Manager,Evening,19,157027.87
600058,Diagnostics,Coordinator,Night,16,53263.27
600059,Surgery,Manager,Evening,23,147812.94
600060,Diagnostics,Nurse,Morning,29,100017.8
600061,Administration,Nurse,Morning,4,136528.71
